Titles,DOIs
GAUR: Genetic Algorithm based Unlocking of Register Transfer Level Locking,DOI:10.1145/3526241.3530362
Clean vs. Overlapped Speech-Music Detection Using Harmonic-Percussive Features and Multi-Task Learning,DOI:10.1109/TASLP.2022.3164199
Speech/music classification using phase-based and magnitude-based features,DOI:10.1016/j.specom.2022.06.005
Foreground-Background Audio Separation using Spectral Peaks based Time-Frequency Masks,DOI:10.1109/SPCOM55316.2022.9840850
FPGA Implementation of Batch-mode Depth-pipelined Two Means Decision Tree,DOI:10.1109/LES.2022.3190001
Only overlay text: novel features for TV news broadcast video segmentation,DOI:10.1007/s11042-022-12917-w
Overlapped Speech Detection Using AM-FM Based Time-Frequency Representations,DOI:10.1007/978-3-031-20980-2_4
Speech Music Overlap Detection Using Spectral Peak Evolutions,DOI:10.1007/978-3-031-20980-2_8
Hardware Implementation of Low Complexity High-speed Perceptron Block,DOI:10.1109/ISCAS48785.2022.9937758
Comparison of Floating-point Representations for the Efficient Implementation of Machine Learning Algorithms,DOI:10.1109/RADIOELEKTRONIKA54537.2022.9764927
