Titles,DOIs
Modified Sparse Representation Classification Framework for Online Writer Identification,DOI:10.1109/TSMC.2018.2871267
Online writer identification system using adaptive sparse representation framework,DOI:10.1049/iet-bmt.2019.0147
A Deep Learning Framework with Histogram Features for Online Writer Identification,DOI:10.1109/ICFHR2020.2020.00032
Online Signature Verification using Time Warp Edit Distance based kernel,DOI:10.1109/ICFHR2020.2020.00065
Online writer identification using gmm based feature representation and writer-specific weights,DOI:10.1109/ICDAR.2019.00124
Exploration of CNN features for online handwriting recognition,DOI:10.1109/ICDAR.2019.00138
An improved discriminative region selection methodology for online handwriting recognition,DOI:10.1007/s10032-018-0314-1
"Revised Selected Papers Document Analysis and Recognition - 4th Workshop DAR 2018, Held Conjunction with ICVGIP 2018, DAR@ICVGIP 2018, Hyderabad, India, December 18, 2018",DOI:10.1007/978-981-13-9361-7
Histogram-based matching of GMM encoded features for online signature verification,DOI:10.1109/ICFHR-2018.2018.00038
A hierarchical codebook descriptor approach for online writer identification,DOI:10.1109/ICFHR-2018.2018.00076
