Name,Domains
Debanga Raj Neog,"['Computer vision', 'Deep Learning']"
Rhythm Grover,['Statistical Signal Processing']
Arghyadip Roy,"['Reinforcement Learning', 'Markov Decision Process', 'Wireless Communication', 'Resource allocation']"
Neeraj Kumar Sharma,"['Signal Processing', 'Machine Learning', 'Speech and Audio processing', 'Human Machine Intelligence with Audio', 'Auditory Neuroscience']"
M K Bhuyan,"['Image/Video Processing and Computer Vision', 'Machine Learning & Deep learning', 'Biometrics & Human Computer Interactions (HCI)', 'Vi']"
Prabirkumar Saha,"['Process Engineering', 'Separation Process']"
Siddhartha Pratim Chakrabarty,"['Mathematical Biology', 'Mathematical Finance']"
Ashok Singh Sairam,"['Computer Networks', 'Network Security']"
Arabin Kumar Dey,"['Distributions Models and Its Applications', 'Statistics and Finance', 'Speech Signal Processing', 'Machine Learning Algorithms']"
Ashish Anand,"['NLP', 'Clinical Data Mining', 'Computational Biology', 'Machine Learning']"
Biplab Bose,"['Complex system', 'Collective behavior', 'Dynamical System', 'Statistical Physics in Biology']"
Gaurav Trivedi,"['VLSI', 'HPC', 'Semiconductor Devices', 'IoT']"
Sanasam Ranbir Singh,"['Information retrieval', 'Machine Learning', 'Data Mining']"
Suresh Sundaram,"['Pattern recognition', 'image processing']"
Hanumant Singh shekhawat,"['Applied Mathematics', 'signals and systems', 'non-linear dynamics', 'machine learning', 'healthcare']"
Prithwijit Guha,"['Computer Vision', 'Machine Learning', 'Signal Processing', 'Robotics']"
Souptick Chanda,"['Biomechanics', 'Finite Element Analysis', 'Optimization', 'Implant design', 'Surgical Simulations']"
Devavrat Shah,"['statistical inference', 'networks', 'algorithms', 'communications']"
S Lakshmivarahan,"['Learning Algorithms', 'Parallel Processing', 'Interconnetion networks', 'Dynamic Data Assimilation', 'Computational Finance']"
